node:ID,name,:LABEL
h_8d52f7231b2a6144ada9668c5daf6ce865842791428a086c49dbe5ae88b21c8b,焦白芍,草药
h_0b140f84107debec45603907fd1daeb9b837dc073396a120d03697976792b3a6,炒蒲黄,草药
h_15d4dd1da2e5fda66a57fcd97fd0808bc12842f06f5e412baddd27d1a233210c,川续断肉,草药
h_cc19b49dd6f042595c92f473b64288f65f35ae1d73ed0a050b840230864084ac,狗脊,草药
h_86fcc30fa8aa751aa022a3a14bb090daa19a44a7103f29118fd5349651eb0fce,香附炭,草药
h_295eb7413b4b9fbf57e4e8b386148a6369b7c9c3bba2c14eac315880a66d5816,熟大黄炭,草药
h_34401189071b386568e29516e0f7f5d82ce8e6ef4cccbdc91ddceaf1397fed33,仙鹤草,草药
h_70ae8a82d9a4dd3fd50d171998e708253f57c48e6a8f1bc05869dd63fd7954d9,三七末（吞）,草药
h_2791807592845409dcf9f4a823deaf37a6415b9dd1e99f942ddfadcfa890692c,方剂_cxsyqzxgscrlylxhyfzlbl,方剂
h_4aedc576ad504d6d36a615e7cb05139f04352b701669ad1e27ca65fd47e7b001,炒黄芪,草药
h_7903ef92f6ec752e890e1ebcf39609e782c55311f5202adc67c6b73ba0a55b17,赤石脂,草药
h_0aecb66acf1a52e79b9529fe75969f765b1e8174219b32501a9b3147f0a0dc49,阿胶（烊冲）,草药
h_0cd692b51a13389212edf7107be261a246ea97cb56beb845a7a14074ddea19af,方剂_cxsxlgpyztsfzlbl,方剂
h_c73c2397ee88cdf76e13148f5132e43fc1117666eb8812755cddc39753e0b86b,炙黄芪,草药
h_cd6235c1d77c3a126d37b428719939aa62256e97b81b564819bff942a8142086,荆芥穗,草药
h_0c10742d5e2e770c8ca4f8d22095018e2c4e111a2378eebc12b0873de8322b36,痛泻要方加减_cxssgjphwdjfzljxxx,方剂
h_96f389f151e471ccdfe3a4fcb7855effc26f2d60fd0d60c305b708e31cfe7270,经行泄泻,疾病
h_f7ca10ff64cb4c1b1ce31bee7bf0d4ee208787178fd4e1cfc20e223952fd012e,炒白芍,草药
h_677516e93d35fa1faf71b986d88d07684b1a0586a0d10aa84ad9438c1f877069,防风,草药
h_f22ab8b3c25e7f667ee9aa6ab2fbfdaf46692f4eb8f3bd83de87dbca630e0cd0,焦白术,草药
h_1a35ebcb51e0f5ecbba2f54c52cf9059e0483f20fab4090acbd7b44ac99ecea3,煨木香,草药
h_b61c3e0eb7bcc88021ca527a44935776d1cba9b055a28b7c0c0ad992e96b6efb,淡吴萸,草药
h_3235505dd44442d27d6fa9d60ff3105125c1191de33b80e3a57949f31a8cf194,焦米仁,草药
h_055fc6d8b2e81dbcacecb4ffff3146de053076b40ecfd2b43f776ab98261042d,焦楂炭,草药
h_fb557a98bde1973f33e8ddac6fd2fa524830817cf2fcb696f05532b5ed39b18e,方剂_cxsjpsyztsfzlbd,方剂
h_dcc9095dbb4f98dc06bdab9f2c79dafe844ec79cb69596c9ae182fc567455b65,白带,疾病
h_7d9197f1815bf0f6b8d0bd407e3c460bd3b9dfe9f41d09e8afd2b2f16bc33e51,海螵蛸,草药
h_ada0bffb300f6b3c9bd53c3b76d8b8b41b568b3adda5e72d13f9d7fc4f26d515,淮山药,草药
h_42a7805abc0971090f811fe271f578c1f26a317494af0f389140e6efdaa128a0,方剂_cxssgjyqrxhfzlhd,方剂
h_cd3e43f76877f2a95bb4c757f69f7f476052c64826e21c90461a8b204ca8a399,黄带,疾病
h_306bd281e2e0753d77a843c866620fcfadba82f460aa750f2e3e5120688f22a5,鱼腥草,草药
h_79d586192b9cc1086bff7ed2bbe071da32c884907eacf09055b931acf1452dc1,方剂_cxsyyqrhwjnfzlrsez,方剂
h_3f9ee247d37f772960629ee503cda10db92e35ae0c3d9f7045910bb683a402fc,妊娠恶阻,疾病
h_e1cc7d72df11ac6b7649670fc96064f009b5e937bfb99d0b9039fcedabc68734,太子参,草药
h_0669bfad4fdd7388fc29565ac5be9c63a2715d765301e733b08ac4740d715393,姜竹茹,草药
h_c78e54ebbd3bd30ea6e49dadf73c1306d9f59143e4c49970ce738a1ce67b4e6a,乌梅肉,草药
h_93da947a6ed4458c08bde9cb63814b74e6ebf11a01d78b661cbdd7ade9efa844,方剂_cxsyssgfzlby,方剂
h_39a96c363e2fb1a4cee7ed30ac8568dfb1e34a3dec15d51e7c131206392f1470,路路通,草药
h_ef743b57726747b54567659f0c9fae865b06ad31e9755fafe82ec91476acd76d,石楠叶,草药
h_dcc72c7378aca0b566361c25038ab708b9b5febe1677b06601eee80b17623094,公丁香,草药
h_cbc531a317daae4ac5afcf316b9dbb98544f6b9e05542f4bd3c9d385390fdabc,细辛,草药
h_72cd681d4e92cfe3b647e627f876bd6b34d719ec6dfab7e94b8db9f911baf1bd,方剂_cxsqxhsfzlchfr,方剂
